title,link,score,review
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},10,재밌기만하네요 졸린상태에서 봤는데 잠이 확깨짐ㅋㅋㅋㅋ
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},1,거지같네ㅋ감독 수준보소
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},6,이걸 무섭다고 해야 하나 같잖다고 해야 하나...밑도끝도없이 그냥 나 무섭지? 하는거 같음.
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},2,ㅋㅋㅋ 유치하기 짝이없네. 연기꼴 봐라. 짜증이나서
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},8,
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},3,"그레이브 인카운터에 블레어 위치 한 스푼 섞은 후, 조악한 도시괴담 몇 개 주워다가 얹어서 까맣게 태운 한국식 공포영화. 세상에. 살자가 뭐냐."
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},8,처음 25분간 장면이 2초마다 바껴서 멀미나 죽을뻔 ㅜ 끌려했는데 보다보니 무섭네요.. 샬롯이 젤 먼저나가자했는데 젤 무섭게죽음.. 무서워죽을뻔
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},9,장난에서 실제로 넘어가는부분부터 온몸에 소름이 퍼지고 특히 영어쓰는애 착란일어날때 연출이 너무 고차원적이라 좋았고 귀신 나올때 약간 김빠짐 귀신을 등장안시키고 정신착란만으로 끌고갔으면 어땠을까 궁금 그래도 대박이었음!
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},10,여태 본 영화중에선 젤 무서웟엉 ㅜㅜ
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},4,인형은왜만지니~너무답답해  흉가물건은 함부로 만지면 안되는거 모르냐   진짜맹하게생겨서
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},8,18.03.30.익숙한 도시전설여서 그랬을까.킬링타임용 페이크다큐 중 오랜만에 정말 재밌게 본 듯 싶다.
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},8,신선하게 무섭다.
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},10,난 진짜 재밌었음 ㅋㅋㅋ
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},4,등장인물들 엄청 촐싹되서 시끄럽고 짱남
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},2,이것도 영화라고  찍었네
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},6,인형 만진놈 죽이고싶다 ㄹㅇ
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},6,이야 라면 물조절이 예술이네
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},8,개봉한지 몇년지나서  아무생각없이 봤는대오호 잼있네 ㅋ  잼있는  내가어이없네 무섭네 생각보다 몇가지 아쉬웠지만 무서움
곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=&page={},4,기집애들 줫나 떽떽거리네
