title,link,score,review
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,8,영화보고 썸녀가 고백했습니다.. 추천하면 고백받음
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,리뷰 다 거짓말 하네... 개연성도 하나도 없고 억지로 레트로멜로 흉내만냈음 그냥 잘생긴 정해인 스크린으로 크게 봤다고 생각하면 됨
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,2,어떤 제정신이 아닌 분이 두부를 찾으러 빵집에 들가죠???
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,진짜 평점 알바가 있던지 아님 영화 관계자들이 별점 노이즈를 만들던 하는 게 확실하네요..  정해인 김고은 무대인사 하는거 봤고 영화 기대하고 봤으나 너무 개연성없이 스토리 진행 되다가 끝나서 당황 했습니다.  보신...
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,뻔한 스토리에 연관없는 전개들. 평점에 속았다 --
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,어... 영화제목이 사실 의미가 없는들한 영화 내용이고. 스토리나 개연성 이전에 감독이 연출을 첨부터 다시 배워야함. 대사나 영화 장면으로 스토리가 딱딱 연결이 안되고 간정선이 전혀 살지못함. 시대에 안맞는 소품도 ...
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,"개연성없는 역대급 멜로영화. 댓글알바들이 판을 치길래 처음 평점쓰고감. 한6점짜리 영화임. 그냥 정해인 나오는 영화이며, 명작들의 이것저것 짬뽕해놓은듯한 영화. 조잡함"
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,4,"내용에 핵심이 뭔지 모르겠고, 그렇다 할 만한 내용은 없는데 질질 끄는 느낌... 제목이 왜 유열의 음악 앨범인지도잘 모르겠음"
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,2,하~ 총체적 난국. 친구가 옥상서 떨어져 죽는것부터 어설퍼더니 포장마차서 친구들 우르르 나간것도 그래서? 싶고   미수 차로 데려다줬다고 난리치는것도 왜 저래?싶고 수제비딸도 뜬금포  사장도 이상하고 납득이 안돼. ...
유열의 음악앨범,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=179158&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,영화가 구구절절 설명하지 않아서 좋았다.우연이 겹치면 필연이 되고 운명이 되는거지..기적 별거 아니야 그치?
