title,link,score,review,sentiment
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,이제 정말 그만할 때가 아닐까요,0.53054
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,정말 내용이 첨부터끝까지 예상가능한 뻔하디뻔한 년대 코메디영화 년에 추억에 젖게해줘 감사드립니다,0.31217
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,보다가 영화가 너무 저질이고 더럽고 예측가능해서 중간에 나옴,0.00321
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,9,이 영화 속에 메세지가 담겨있지만 솔직히 시리어스하게 볼만한 영화는 아닌 거 같고 급 영화로써 그저 웃고 즐기며 보면 볼만한 듯 개인적으로는 정준호씨 좋아해서 년 전 가문의 영광 편 생각하며 소소하게 볼 ,0.37447
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,8,아이돌들은 모르겠고 웃고 멍때리다 와인뚜껑에 쳐맞을때 나도모르게 뿜어버렸다 재미있었음 ㅋㅋ 윤두준이 아빠때릴때도재미짐ㅋㅋ,0.93404
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,에서 다시해주는거 보는데 너무 재밌고 웃겨요 그리고 성동일씨 뽕 넣은 장면 진짜 웃겼어요ㅋㅋㅋ,0.99856
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,돈 받고 보아도 아까울 시간,0.01177
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,안 웃길줄 알았는데 이상하게 보면 웃기는 코미디 영화,0.49653
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,5,왜 만들었을까,0.03408
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,8,대 점수는 높은걸 보니 망작은 아니다 다만 모든 연령대가 즐기게 하는데 실패했을 뿐이다,0.00134
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,나름괜찮은것 같아요 별점은 사심이지만,0.78378
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,1,시간죽이기도 아깝습니다출연진 감독님 고새하신 제작진님 이제껏중 가장 엉망임니다,0.00098
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,굿굿이영화정말재밋네여,0.98985
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,1,이게 영화냐후속편만들려면 전판 배우들 다모아서 햇어야지 ㅋㅋ,0.06105
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,1,이런 영화가 있었나솔직히 지금 알았다 개봉 예정작이 아니었네,0.78061
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,나만 당할순없지  ㅅㅂ,0.08196
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,8,그냥 심심할때 가벼운 영화 보고싶을때 보면 좋음 애초에 그러려고 봐서 재밋었음,0.88848
가문의 영광5-가문의 귀환,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=96969&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=2,10,코미디프로도아니고 영화로이만함웃긴거지 참모지란애글이이런건 점주지 ㅡㅡ도나왓음조켓댜,0.10588
